Min time to complete: 62
Avg time to complete: 335.921
Max time to complete: 582
Variance of time to complete: 23500.370759
Agent 0 mean reward: -63.02234695512958
Agent 1 mean reward: -56.22150579213346
Agent 2 mean reward: -17.947982361776216
Agent 3 mean reward: -16.894638464886967
Agent 4 mean reward: -13.760788623340813
Agent 5 mean reward: -78.138281761958
Agent 6 mean reward: -69.62438471774334
Agent 7 mean reward: -48.69597412277102
Agent 8 mean reward: -14.796806634117791
Agent 9 mean reward: -13.177470166937375
Agent 10 mean reward: -72.43662031296411
Agent 11 mean reward: -48.711935450299656
Agent 12 mean reward: -41.715424584263374
Agent 13 mean reward: -27.46973082677184
Agent 14 mean reward: -17.019400533404287
Agent 15 mean reward: -47.34623448755515
Agent 16 mean reward: -41.49483010424842
Agent 17 mean reward: -28.40672629753087
Agent 18 mean reward: -21.41705977420372
Agent 19 mean reward: -13.263198370136408

****Episode 1****
Mean reward:
Agent 0: -113.89261678084424
Agent 1: -109.6310676084198
Agent 2: -98.0734726461517
Agent 3: -11.937250094464444
Agent 4: -12.933513703667378
Agent 5: -120.81437427924762
Agent 6: -93.5790523262501
Agent 7: -108.1856630370802
Agent 8: -12.020147979837988
Agent 9: -13.745909152323103
Agent 10: -65.46097682246693
Agent 11: -44.44777599580015
Agent 12: -47.99977088829308
Agent 13: -30.170780774072508
Agent 14: -21.626337984341085
Agent 15: -39.494657439521475
Agent 16: -43.661025111407476
Agent 17: -48.90153721908126
Agent 18: -49.909006727903396
Agent 19: 0.0
Time to complete: 356

****Episode 2****
Mean reward:
Agent 0: -44.80992766048405
Agent 1: -34.08731795198871
Agent 2: -6.27992895295791
Agent 3: -33.15028636117835
Agent 4: -5.300266214997988
Agent 5: -54.553920158993364
Agent 6: -69.78855824603006
Agent 7: -19.658199945363368
Agent 8: -34.10526509304745
Agent 9: 0.5925799661903178
Agent 10: -98.73730414702675
Agent 11: -58.92181318614695
Agent 12: -25.661193426590835
Agent 13: -38.41726141283952
Agent 14: 0.0
Agent 15: -101.36199739549275
Agent 16: -59.38656337354816
Agent 17: -35.3904198462281
Agent 18: -38.525427380638895
Agent 19: 0.0
Time to complete: 246

****Episode 3****
Mean reward:
Agent 0: -22.066131205015154
Agent 1: -23.22493538190019
Agent 2: -29.545434005517635
Agent 3: -30.97122533504161
Agent 4: 0.0
Agent 5: -107.1535799430566
Agent 6: -102.73247408744048
Agent 7: -105.00784255866637
Agent 8: -2.6936095788061802
Agent 9: -3.785028796841795
Agent 10: -72.3289458073792
Agent 11: 23.60240941474995
Agent 12: -101.3718165742528
Agent 13: -31.443495571826382
Agent 14: -33.416022441147256
Agent 15: -62.26073207248316
Agent 16: -59.303659672254845
Agent 17: -53.09055429551132
Agent 18: -41.15366697546744
Agent 19: -0.015632189732812773
Time to complete: 164

****Episode 4****
Mean reward:
Agent 0: 0.0
Agent 1: -50.23951150073552
Agent 2: -35.03595208620126
Agent 3: -35.890221834089886
Agent 4: -15.030957612894657
Agent 5: -78.87756863124375
Agent 6: -50.773523104351995
Agent 7: -93.17875924333137
Agent 8: -23.18117028407115
Agent 9: -10.930029451288279
Agent 10: 0.0
Agent 11: 0.0
Agent 12: 0.0
Agent 13: 0.3022038403443945
Agent 14: -8.029952225392684
Agent 15: 0.0
Agent 16: 0.0
Agent 17: 0.0
Agent 18: 0.0
Agent 19: -7.740017509466162
Time to complete: 112

****Episode 5****
Mean reward:
Agent 0: -39.214728313008465
Agent 1: -23.458729857487434
Agent 2: -6.976412329492564
Agent 3: -13.635133105684732
Agent 4: -20.925250321334463
Agent 5: 15.847755956373256
Agent 6: -30.565433926262592
Agent 7: -36.85816754427381
Agent 8: -14.161847748031507
Agent 9: -17.973881202238175
Agent 10: -165.78080011189027
Agent 11: -102.82833921326454
Agent 12: -46.535078669275805
Agent 13: -53.650888475282976
Agent 14: -93.91464325001023
Agent 15: -160.61175602592942
Agent 16: -104.0725386686909
Agent 17: -120.8436965072452
Agent 18: -108.63069838915146
Agent 19: -106.63310369440279
Time to complete: 340

****Episode 6****
Mean reward:
Agent 0: 0.0
Agent 1: 0.0
Agent 2: 0.0
Agent 3: -3.5825800581801652
Agent 4: -3.478864799520001
Agent 5: 26.6277213972
Agent 6: 0.0
Agent 7: -14.48152199007852
Agent 8: 0.0
Agent 9: -1.6763465526786465
Agent 10: -73.8678809906093
Agent 11: -60.86359596898297
Agent 12: -16.92968459080638
Agent 13: -19.5189864653651
Agent 14: -22.24290463384489
Agent 15: -61.1015258497266
Agent 16: -42.55207012438151
Agent 17: -36.060036436185754
Agent 18: -22.898682854100613
Agent 19: -21.82787709160873
Time to complete: 186

****Episode 7****
Mean reward:
Agent 0: 0.0
Agent 1: 0.0
Agent 2: 0.0
Agent 3: -3.1015096501276584
Agent 4: -9.542166588090343
Agent 5: 26.6277213972
Agent 6: 0.0
Agent 7: 0.0
Agent 8: -2.364280806292314
Agent 9: -7.36833666173362
Agent 10: -54.48047639278763
Agent 11: -40.397061479238545
Agent 12: -26.01702613251532
Agent 13: -20.095268989197685
Agent 14: -18.629869153312256
Agent 15: -40.9572632040603
Agent 16: -39.676733497148064
Agent 17: -46.73538924252495
Agent 18: 0.0
Agent 19: 0.0
Time to complete: 116

****Episode 8****
Mean reward:
Agent 0: -17.78379407338541
Agent 1: -44.255731858751766
Agent 2: -32.84743082870706
Agent 3: -33.05662973062646
Agent 4: -25.87417627988259
Agent 5: -39.27957270043994
Agent 6: -58.498639248817526
Agent 7: -60.61382919751216
Agent 8: 0.0
Agent 9: 0.0
Agent 10: -75.18472711502666
Agent 11: -7.849268526886545
Agent 12: -10.349283740160509
Agent 13: 0.0
Agent 14: 0.0
Agent 15: 0.0
Agent 16: -5.11269605160193
Agent 17: -2.958920034241782
Agent 18: 0.0
Agent 19: 0.0
Time to complete: 172

****Episode 9****
Mean reward:
